날짜,포트폴리오 이름,캠페인 유형,캠페인 이름,리테일러,국가,상태,통화,예산,타겟팅 유형,입찰 전략,광고 노출 수,작년 광고 노출 수,클릭수,작년 클릭 수,CTR(클릭률),지출,작년 지출,클릭당 비용(CPC),작년 클릭당 비용(CPC),7일 총 주문(건수),"총 판매 광고 비용(ACOS) ",총 광고 수익률(ROAS),"7일 총 판매 "
"Jun 12, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,15553,,324,,2.083%,$71.2,,$0.2197531,$0.0,47,9.673%,10.34,$736.07
"Jun 13, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,4230,,100,,2.3640000000000003%,$32.3,,$0.32299999999999995,$0.0,7,39.995000000000005%,2.5,$80.76
"Jun 13, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,452,,5,,1.106%,$5.21,,$1.042,$0.0,1,58.538999999999994%,1.71,$8.9
"Jun 13, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,미국,PAUSED,USD,$44.0,자동 타겟팅,동적 입찰액 - 감액 전용,6801,,82,,1.206%,$15.15,,$0.1847561,$0.0,5,25.852999999999998%,3.87,$58.6
"Jun 13, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,미국,PAUSED,USD,$20.1,자동 타겟팅,동적 입찰액 - 감액 전용,5994,,60,,1.001%,$43.82,,$0.7303333000000001,$0.0,5,52.354%,1.91,$83.7
"Jun 13, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,18620,,438,,2.352%,$98.37,,$0.224589,$0.0,61,12.014%,8.32,$818.81
"Jun 14, 2026",Monthly_ON,Sponsored Products,SP_Competitor_260601,Amazon,미국,ENABLED,USD,$8.0,수동 타겟팅,동적 입찰액 - 감액 전용,131,,3,,2.29%,$3.2,,$1.0666666999999999,$0.0,0,0.0%,0.0,$0.0
"Jun 14, 2026",Monthly_ON,Sponsored Products,SP_Keyword_260601,Amazon,미국,ENABLED,USD,$42.0,수동 타겟팅,동적 입찰액 - 감액 전용,4475,,96,,2.145%,$30.74,,$0.32020829999999995,$0.0,17,12.915%,7.74,$238.02
"Jun 14, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,미국,PAUSED,USD,$20.1,자동 타겟팅,동적 입찰액 - 감액 전용,6086,,97,,1.5939999999999999%,$70.73,,$0.7291753,$0.0,17,25.014999999999997%,4.0,$282.75
"Jun 14, 2026",Monthly_ON,Sponsored Products,SP_Defence_260601,Amazon,미국,PAUSED,USD,$44.0,자동 타겟팅,동적 입찰액 - 감액 전용,6918,,64,,0.9249999999999999%,$11.94,,$0.1865625,$0.0,11,9.11%,10.98,$131.06
"Jun 14, 2026",Monthly_ON,Sponsored Products,SP_Auto_All_260601,Amazon,미국,ENABLED,USD,$33.0,자동 타겟팅,동적 입찰액 - 감액 전용,22449,,401,,1.786%,$91.99,,$0.22940149999999998,$0.0,56,11.862%,8.43,$775.53
"Jun 15, 2026",Monthly_ON,Sponsored Products,SP_Auto_New_260601,Amazon,미국,PAUSED,USD,$20.1,자동 타겟팅,동적 입찰액 - 감액 전용,6176,,57,,0.923%,$38.6,,$0.677193,$0.0,2,129.097%,0.77,$29.9
